2018-10-27 12:21:26 [Thread-0] DEBUG entity.Ship - Thread-0; Got berth : entity.Berth@406832b; Working with it;
2018-10-27 12:21:26 [Thread-3] DEBUG entity.Ship - Thread-3; Got berth : entity.Berth@10f5cab9; Working with it;
2018-10-27 12:21:26 [Thread-4] DEBUG entity.Ship - Thread-4; Got berth : entity.Berth@19e7fe5b; Working with it;
2018-10-27 12:21:26 [Thread-2] DEBUG entity.Ship - Thread-2; Got berth : entity.Berth@367798f1; Working with it;
2018-10-27 12:21:26 [Thread-5] DEBUG entity.Ship - Thread-5; Got berth : entity.Berth@61b3ac93; Working with it;
2018-10-27 12:21:26 [Thread-1] DEBUG entity.Ship - Thread-1; Got berth : entity.Berth@27705b42; Working with it;
2018-10-27 12:21:27 [Thread-9] DEBUG entity.Ship - Thread-9; Got berth : null; Working with it;
2018-10-27 12:21:27 [Thread-10] DEBUG entity.Ship - Thread-10; Got berth : null; Working with it;
2018-10-27 12:21:27 [Thread-13] DEBUG entity.Ship - Thread-13; Got berth : null; Working with it;
2018-10-27 12:21:27 [Thread-12] DEBUG entity.Ship - Thread-12; Got berth : entity.Berth@367798f1; Working with it;
2018-10-27 12:21:27 [Thread-6] DEBUG entity.Ship - Thread-6; Got berth : null; Working with it;
2018-10-27 12:21:27 [Thread-8] DEBUG entity.Ship - Thread-8; Got berth : null; Working with it;
