2018-10-30 18:09:15 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:20 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:25 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:30 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:35 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:40 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:45 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:50 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:09:55 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:10:00 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
2018-10-30 18:10:05 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 750];
